Concept,Occurrences,Ingredient
dish,41,"['chili', 'patty', 'pilaf', 'salad', 'pudding', 'mousse', 'soup', 'taco', 'teriyaki', 'pasta', 'casserole', 'risotto', 'croquette', 'chow_mein', 'tempura', 'custard', 'couscous', 'applesauce', 'pizza', 'stew', 'side_dish', 'meatball', 'egg_roll', 'saute', 'beef_wellington', 'ramekin', 'sauerkraut', 'tamale', 'enchilada', 'tostada', 'falafel', 'scampi', 'hash', 'burrito', 'sushi', 'adobo', 'fondue', 'paella', 'barbecue', 'mould', 'omelet']"
flavorer,30,"['vanilla', 'salt', 'pepper', 'garlic', 'cayenne', 'ginger', 'herb', 'coriander', 'turmeric', 'cardamom', 'spice', 'paprika', 'chili_powder', 'vanilla_bean', 'fenugreek', 'mustard_seed', 'sesame_seed', 'lemon_extract', 'anise', 'saffron', 'poppy_seed', 'fennel_seed', 'celery_seed', 'curry_powder', 'condiment', 'garlic_salt', 'bouillon_cube', 'caraway_seed', 'celery_salt', 'almond_extract']"
edible fruit,24,"['banana', 'apple', 'pomegranate', 'berry', 'pear', 'grape', 'tamarind', 'avocado', 'pineapple', 'cling', 'cherry', 'plum', 'apricot', 'fig', 'mango', 'kiwi', 'peach', 'passion_fruit', 'date', 'melon', 'guava', 'citrus', 'jackfruit', 'papaya']"
cut,15,"['side', 'rack', 'steak', 'sirloin', 'leg', 'roast', 'rib', 'chop', 'tenderloin', 'neck', 'shoulder', 'shank', 'brisket', 'shin', 'loin']"
vegetable,15,"['onion', 'celery', 'squash', 'pumpkin', 'mushroom', 'asparagus', 'cucumber', 'fennel', 'artichoke', 'leek', 'artichoke_heart', 'plantain', 'truffle', 'bamboo_shoot', 'gumbo']"
herb,15,"['parsley', 'dill', 'sage', 'thyme', 'coriander', 'rosemary', 'basil', 'fennel', 'tea', 'bay_leaf', 'mint', 'tarragon', 'caraway', 'savory', 'marjoram']"
condiment,14,"['sauce', 'vinegar', 'soy_sauce', 'mustard', 'chili_sauce', 'marinade', 'salsa', 'dip', 'horseradish', 'spread', 'cranberry_sauce', 'chutney', 'relish', 'taco_sauce']"
food,13,"['butter', 'cheese', 'water', 'chocolate', 'coconut', 'yogurt', 'meat', 'loaf', 'pasta', 'fish', 'seafood', 'beverage', 'feed']"
pasta,13,"['dumpling', 'noodle', 'macaroni', 'ravioli', 'spaghetti', 'couscous', 'fettuccine', 'penne', 'linguine', 'lasagna', 'orzo', 'tortellini', 'vermicelli']"
foodstuff,12,"['egg', 'flour', 'ingredient', 'milk', 'juice', 'grain', 'coloring', 'cocoa', 'meal', 'tapioca', 'concentrate', 'curd']"
cheese,12,"['cheddar', 'parmesan', 'cream_cheese', 'ricotta', 'goat_cheese', 'mozzarella', 'gouda', 'string_cheese', 'cottage_cheese', 'bleu', 'camembert', 'brie']"
sauce,12,"['dressing', 'mustard_sauce', 'pesto', 'cocktail_sauce', 'curry_sauce', 'gravy', 'barbecue_sauce', 'chocolate_sauce', 'aioli', 'wine_sauce', 'hollandaise', 'pepper_sauce']"
edible nut,11,"['walnut', 'butternut', 'hazelnut', 'coconut', 'cashew', 'peanut', 'almond', 'pine_nut', 'pistachio', 'pecan', 'chestnut']"
candy,11,"['patty', 'marshmallow', 'caramel', 'mint', 'gumdrop', 'kiss', 'cotton_candy', 'candy_cane', 'truffle', 'lollipop', 'fudge']"
spread,10,"['garlic_butter', 'tahini', 'peanut_butter', 'miso', 'hummus', 'margarine', 'marshmallow_fluff', 'nut_butter', 'tapenade', 'cheese_spread']"
beverage,10,"['milk', 'cider', 'cocoa', 'mixer', 'coffee', 'tea', 'smoothie', 'ginger_beer', 'cooler', 'alcohol']"
cake,9,"['pancake', 'cookie', 'cupcake', 'cheesecake', 'waffle', 'pound_cake', 'gingerbread', 'chocolate_cake', 'fruitcake']"
vegetable oil,9,"['canola_oil', 'sesame_oil', 'olive_oil', 'coconut_oil', 'cooking_oil', 'peanut_oil', 'corn_oil', 'sunflower_oil', 'safflower_oil']"
bread,8,"['bun', 'crouton', 'flatbread', 'cracker', 'toast', 'breadstick', 'garlic_bread', 'rye_bread']"
meal,8,"['mess', 'cornmeal', 'bite', 'tea', 'breakfast', 'dinner', 'oatmeal', 'lunch']"
helping,8,"['piece', 'breast', 'round', 'oyster', 'drumstick', 'wing', 'medallion', 'drink']"
grain,8,"['rice', 'corn', 'wheat', 'oat', 'malt', 'barley', 'buckwheat', 'millet']"
cruciferous vegetable,7,"['broccoli', 'cauliflower', 'cabbage', 'mustard', 'turnip', 'radish', 'broccoli_rabe']"
dairy product,7,"['butter', 'cheese', 'milk', 'cream', 'yogurt', 'curd', 'whey']"
fruit juice,7,"['orange_juice', 'pineapple_juice', 'nectar', 'grapefruit_juice', 'apple_juice', 'cranberry_juice', 'grape_juice']"
berry,7,"['cranberry', 'cranberry', 'blueberry', 'strawberry', 'blackberry', 'raspberry', 'currant']"
spice,6,"['cinnamon', 'nutmeg', 'ginger', 'clove', 'allspice', 'fennel']"
concoction,6,"['batter', 'filling', 'dough', 'mix', 'stuffing', 'roux']"
root vegetable,6,"['carrot', 'potato', 'turnip', 'beet', 'parsnip', 'radish']"
meat,6,"['cut', 'beef', 'pork', 'bird', 'lamb', 'sausage']"
pastry,6,"['pie_crust', 'pie', 'tart', 'puff', 'strudel', 'frangipane']"
dessert,6,"['dumpling', 'pudding', 'mousse', 'compote', 'flan', 'mould']"
liquor,6,"['rum', 'vodka', 'tequila', 'whiskey', 'gin', 'brandy']"
shellfish,6,"['crab', 'scallop', 'mussel', 'lobster', 'clam', 'cockle']"
syrup,5,"['maple_syrup', 'sugar_syrup', 'corn_syrup', 'grenadine', 'sorghum']"
solanaceous vegetable,5,"['pepper', 'potato', 'tomato', 'eggplant', 'tomatillo']"
nutriment,5,"['dish', 'mess', 'meal', 'puree', 'mince']"
soup,5,"['broth', 'julienne', 'bisque', 'chowder', 'gumbo']"
legume,5,"['pea', 'bean', 'chickpea', 'lentil', 'pulse']"
pie,5,"['patty', 'pumpkin_pie', 'tart', 'pecan_pie', 'apple_pie']"
drupe,5,"['olive', 'almond', 'cherry', 'plum', 'peach']"
greens,5,"['sprout', 'spinach', 'chard', 'sorrel', 'beet_green']"
quick bread,5,"['cornbread', 'muffin', 'biscuit', 'scone', 'banana_bread']"
cut of beef,5,"['plate', 'round', 'blade', 'chuck', 'flank']"
soft drink,5,"['pop', 'cola', 'ginger_ale', 'tonic', 'root_beer']"
broth,4,"['chicken_broth', 'stock_cube', 'beef_broth', 'bouillon']"
citrus,4,"['orange', 'lemon', 'lime', 'grapefruit']"
snack food,4,"['chip', 'sandwich', 'corn_chip', 'potato_skin']"
juice,4,"['lemon_juice', 'lime_juice', 'pan_gravy', 'tomato_juice']"
alcohol,4,"['wine', 'sake', 'liqueur', 'hooch']"
conserve,4,"['marmalade', 'jam', 'jelly', 'lemon_curd']"
sweetening,3,"['syrup', 'sugar', 'honey']"
starches,3,"['bread', 'rice', 'potato']"
baked goods,3,"['bread', 'cake', 'pastry']"
edible seed,3,"['cumin', 'pumpkin_seed', 'sunflower_seed']"
relish,3,"['olive', 'pickle', 'pickle_relish']"
edible fat,3,"['vegetable_oil', 'shortening', 'lard']"
saltwater fish,3,"['tuna', 'cod', 'sea_bass']"
pickle,3,"['caper', 'gherkin', 'dill_pickle']"
sweet,3,"['center', 'candy', 'maraschino']"
ingredient,3,"['tomato_paste', 'egg_white', 'egg_yolk']"
chocolate,3,"['cocoa_powder', 'chocolate_candy', 'cocoa_butter']"
dip,3,"['guacamole', 'bean_dip', 'cheese_dip']"
topping,3,"['frosting', 'glaze', 'meringue']"
sausage,3,"['chorizo', 'salami', 'pepperoni']"
milk,3,"['coconut_milk', 'buttermilk', 'skim_milk']"
frozen dessert,3,"['ice_cream', 'ice', 'sherbet']"
beefsteak,3,"['fillet', 'sirloin_steak', 'flank_steak']"
cut of pork,3,"['ham', 'bacon', 'pork_loin']"
cookie,3,"['brownie', 'kiss', 'gingerbread_man']"
salad,3,"['coleslaw', 'potato_salad', 'pasta_salad']"
liqueur,3,"['amaretto', 'orange_liqueur', 'maraschino']"
drinking water,3,"['ice_water', 'soda_water', 'sugar_water']"
seafood,3,"['octopus', 'prawn', 'shellfish']"
mixed drink,3,"['cocktail', 'highball', 'punch']"
chicken,3,"['broiler', 'fryer', 'spatchcock']"
candied citrus peel,3,"['lemon_peel', 'orange_peel', 'grapefruit_peel']"
bun,3,"['brioche', 'hamburger_bun', 'crescent_roll']"
cracker,3,"['graham_cracker', 'pretzel', 'oyster_cracker']"
poultry,2,"['chicken', 'turkey']"
chili,2,"['cayenne', 'jalapeno']"
liquid,2,"['water', 'beverage']"
dried fruit,2,"['raisin', 'prune']"
pome,2,"['apple', 'pear']"
vinegar,2,"['cider_vinegar', 'wine_vinegar']"
winter squash,2,"['butternut_squash', 'acorn_squash']"
fare,2,"['board', 'chow']"
common bean,2,"['kidney_bean', 'pinto_bean']"
flour,2,"['wheat_flour', 'semolina']"
fish,2,"['salmon', 'anchovy']"
piece,2,"['fillet', 'cutlet']"
cabbage,2,"['bok_choy', 'kale']"
sandwich,2,"['wrap', 'hamburger']"
small indefinite quantity,2,"['taste', 'helping']"
dough,2,"['pastry', 'bread_dough']"
sprout,2,"['bean_sprout', 'alfalfa_sprout']"
white sauce,2,"['cream_sauce', 'cheese_sauce']"
friedcake,2,"['fritter', 'doughnut']"
spaghetti sauce,2,"['marinara', 'tomato_sauce']"
tea,2,"['tea_bag', 'oolong']"
flatbread,2,"['pita', 'chapatti']"
game,2,"['buffalo', 'rabbit']"
crudites,2,"['celery_stick', 'carrot_stick']"
summer squash,2,"['zucchini', 'spaghetti_squash']"
variety meat,2,"['heart', 'giblet']"
bacon,2,"['bacon_strip', 'gammon']"
ale,2,"['stout', 'bitter']"
mandarin,2,"['clementine', 'tangerine']"
drupelet,2,"['blackberry', 'raspberry']"
peel,2,"['lemon_peel', 'orange_peel']"
ready-mix,2,"['cake_mix', 'brownie_mix']"
cocktail,2,"['margarita', 'martini']"
dainty,2,"['gelatin', 'savory']"
tenderloin,2,"['pork_tenderloin', 'beef_tenderloin']"
cold cereal,2,"['granola', 'corn_flake']"
course,2,"['dessert', 'appetizer']"
fortified wine,2,"['sherry', 'marsala']"
whiskey,2,"['bourbon', 'rye']"
corn,2,"['popcorn', 'hominy']"
batter,1,['pancake_batter']
garnish,1,['topping']
punch,1,['cup']
hot pepper,1,['chili']
bean,1,['soy']
nutrient,1,['water']
produce,1,['vegetable']
garlic,1,['clove']
butter,1,['stick']
margarine,1,['stick']
solid,1,['food']
sweet pepper,1,['bell_pepper']
dressing,1,['mayonnaise']
tortilla chip,1,['nacho']
onion,1,['shallot']
jalapeno,1,['chipotle']
salad green,1,['lettuce']
noodle,1,['egg_noodle']
bird,1,['poultry']
lemon peel,1,['lemon_zest']
breakfast food,1,['cereal']
entree,1,['plate']
morsel,1,['crumb']
segment,1,['section']
sweet roll,1,['cinnamon_roll']
protein,1,['gluten']
tomato,1,['cherry_tomato']
decoration,1,['garnish']
pancake,1,['tortilla']
green pea,1,['snow_pea']
brew,1,['beer']
orange peel,1,['orange_zest']
sponge cake,1,['twinkie']
smoked salmon,1,['lox']
appetizer,1,['cocktail']
drumstick,1,['chicken_leg']
solution,1,['brine']
crumb,1,['breadcrumb']
clarified butter,1,['ghee']
dumpling,1,['gnocchi']
corn chip,1,['tortilla_chip']
wing,1,['chicken_wing']
sugar,1,['caramel']
coffee,1,['espresso']
stew,1,['ratatouille']
marmalade,1,['orange_marmalade']
rind,1,['peel']
object,1,['paring']
melon,1,['watermelon']
highball,1,['cobbler']
material,1,['rind']
mineral water,1,['seltzer']
side of pork,1,['pork_belly']
meat pie,1,['pasty']
ham,1,['prosciutto']
roast,1,['rib_roast']
porridge,1,['oatmeal']
puff,1,['cream_puff']
winter melon,1,['honeydew']
green bean,1,['string_bean']
cucumber,1,['gherkin']
pork sausage,1,['bratwurst']
canned meat,1,['spam']
cress,1,['watercress']
tuber,1,['water_chestnut']
tortilla,1,['tostada']
baking-powder biscuit,1,['shortcake']
tart,1,['quiche']
powdered sugar,1,['icing_sugar']
mush,1,['polenta']
drug of abuse,1,['alcohol']
wine,1,['vermouth']
burrito,1,['quesadilla']
raisin,1,['currant']
fruit drink,1,['lemonade']
cream,1,['whipping_cream']
puff paste,1,['phyllo']
cream cheese,1,['mascarpone']
sparkling wine,1,['champagne']
cherry tomato,1,['plum_tomato']
biscuit,1,['buttermilk_biscuit']
loaf,1,['pound_cake']
cookout,1,['barbecue']
beer,1,['ale']
mint,1,['peppermint']
gluten,1,['wheat_gluten']
hamburger,1,['cheeseburger']
lager,1,['malt']
tuna,1,['bonito']
lobster,1,['lobster_tail']
butter cookie,1,['shortbread']
chicory,1,['radicchio']
patty,1,['fish_cake']
roughage,1,['bran']
side dish,1,['raita']
sweet orange,1,['navel_orange']
taco,1,['chicken_taco']
flatfish,1,['halibut']
fodder,1,['alfalfa']
lime,1,['key_lime']
chocolate candy,1,['chocolate_bar']
lettuce,1,['leaf_lettuce']
curd,1,['bean_curd']
feed,1,['mash']
