Recipe Title,Recipe URL,Recipe Video,Cutlery,Container,
Orange Cauliflower “Chicken”,https://tasty.co/recipe/orange-cauliflower-chicken,86,fork,bowl,
Hasselback Butternut Squash,https://tasty.co/recipe/hasselback-butternut-squash,40,"fork, knife",plate,
Swedish Sticky Chocolate Cake (Kladdkaka),https://tasty.co/recipe/swedish-sticky-chocolate-cake-kladdkaka,38,fork,plate,
Slow Cooker Chicken Fajita Bowls,https://tasty.co/recipe/slow-cooker-chicken-fajita-bowls,37,fork,bowl,{spoon: “shown at the end putting sauce e.g. guacamole on the plate”}
Portobello Fajita Bowl Meal Prep,https://tasty.co/recipe/portobello-fajita-bowl-meal-prep,2,fork,plate,{cut: “the last 14 seconds are just Tasty logos (abspanne)”}
Thai Coconut Vegetable Curry,https://tasty.co/recipe/thai-coconut-vegetable-curry,1,spoon,none,{cut: “no container in last 14 sec”}
One-Pan Miso Honey Salmon For Two,https://tasty.co/recipe/one-pan-miso-honey-salmon-for-two,0,fork,plate,
Meal Prep Chicken Burrito Bowls,https://tasty.co/recipe/meal-prep-chicken-burrito-bowls,13,fork,none,{container: “food-container shown”}
Cashew Chicken Stir-Fry,https://tasty.co/recipe/cashew-chicken-stir-fry,7,chopsticks,plate,{cutlery: “lepel shown before as serving”}
Weekday Meal-Prep Chicken Burrito Bowls,https://tasty.co/recipe/weekday-meal-prep-chicken-burrito-bowls,16,fork,plate,{container: “food container shown”}
Vegetarian Grain Bowl Meal Prep,https://tasty.co/recipe/vegetarian-grain-bowl-meal-prep,5,fork,bowl,{food-container: “bowl was actually food-container”}
Roasted Brussels Sprouts Salad,https://tasty.co/recipe/roasted-brussels-sprouts-salad,10,fork,bowl,
Slow Cooker Steak and Veggies,https://tasty.co/recipe/slow-cooker-steak-and-veggies,6,fork,plate,
One-Pan Winter Chicken Roast,https://tasty.co/recipe/one-pan-autumn-chicken-roast,14,"fork, knife",plate,
Roasted Garlic Parmesan Brussels Sprouts,https://tasty.co/recipe/roasted-garlic-parmesan-brussels-sprouts,19,fork,bowl,
One-pan Honey Garlic Chicken,https://tasty.co/recipe/one-pan-honey-garlic-chicken,18,"fork, knife",plate,spoon used to put sauce
Cookies and Cream Cheesecake Cookies,https://tasty.co/recipe/cookies-and-cream-cheesecake-cookies,20,person,plate,cookie dipped in glas at end
Chocolate Chip Cookies,https://tasty.co/recipe/chocolate-chip-cookies,21,person,plate,
Cheddar Ranch Popcorn Chicken,https://tasty.co/recipe/cheddar-ranch-popcorn-chicken,33,person,bowl,
Whole-roasted Chicken and Veggies,https://tasty.co/recipe/whole-roasted-chicken-and-veggies,50,fork,plate,
Tempura Bowl,https://tasty.co/recipe/tempura-bowl,71,chopsticks,bowl,
Easy & Healthy Fried Rice,https://tasty.co/recipe/healthier-fried-rice,102,spoon,bowl,
Healthy Carrot Cake Muffins,https://tasty.co/recipe/healthy-carrot-cake-muffins,111,person,plate,
Cheesy Mashed Cauliflower,https://tasty.co/recipe/cheesy-mashed-cauliflower,113,fork,bowl,
Hidden Veggie Mac & Cheese,https://tasty.co/recipe/hidden-veggie-mac-cheese,107,spoon,bowl,
The Best Ever Cauliflower Pizza Crust,https://tasty.co/recipe/cauliflower-crust-pizza,117,person,plate,
"Healthy Cauliflower Fried ""Rice""",https://tasty.co/recipe/healthy-cauliflower-fried-rice,112,spoon,bowl,
Cajun Shrimp Bake,https://tasty.co/recipe/cajun-shrimp-bake,130,fork,plate,
Chili Lime Baked Tilapia With Avocado Crema,https://tasty.co/recipe/chili-lime-baked-tilapia-with-avocado-crema,121,fork,plate,
Easy Fish Tacos,https://tasty.co/recipe/easy-fish-tacos,129,person,plate,Two forks were used to prepare\serve
Italian-style Bolognese (Ragù),https://tasty.co/recipe/italian-style-bolognese-ragu,133,fork,plate,
Vegan Shepherd’s Pie,https://tasty.co/recipe/vegan-shepherds-pie,134,spoon,plate,
Avocado Chicken Salad,https://tasty.co/recipe/avocado-chicken-salad,128,person,none,
Slow Cooker Beef Stew,https://tasty.co/recipe/slow-cooker-beef-stew,142,fork,plate,
One-pot Chicken Chow Mein,https://tasty.co/recipe/one-pot-chicken-chow-mein,135,chopsticks,bowl,
Grilled Cheese Roll-ups,https://tasty.co/recipe/grilled-cheese-roll-ups,137,person,plate,
Cheeseburger Sliders,https://tasty.co/recipe/cheeseburger-sliders,151,person,none,
Cheesy Chicken Broccoli Bake,https://tasty.co/recipe/cheesy-chicken-broccoli-bake,141,"fork, knife",plate,
Stuffed Chicken Parmesan,https://tasty.co/recipe/stuffed-chicken-parmesan,146,"fork, knife",plate,
Easy Chicken Alfredo Penne,https://tasty.co/recipe/easy-chicken-alfredo-penne,149,fork,bowl,
One-Pot Lemon Garlic Shrimp Pasta,https://tasty.co/recipe/one-pot-lemon-garlic-shrimp-pasta,153,fork,bowl,
Healthy Fajita-Stuffed Chicken,https://tasty.co/recipe/healthy-fajita-stuffed-chicken,159,"fork, knife",plate,
Korean-style BBQ Beef,https://tasty.co/recipe/korean-style-bbq-beef,166,chopsticks,plate,
Honey Soy Glazed Salmon,https://tasty.co/recipe/honey-soy-glazed-salmon,168,fork,plate,spoon used to serve
Ratatouille,https://tasty.co/recipe/ratatouille,172,fork,plate,
Lemon Chicken And Asparagus Stir-Fry (Under 500 Calories),https://tasty.co/recipe/lemon-chicken-and-asparagus-stir-fry,170,fork,bowl,
Healthy Blueberry Banana Bread,https://tasty.co/recipe/healthy-blueberry-banana-bread,173,person,plate,
Chicken & Veggie Stir-Fry,https://tasty.co/recipe/chicken-veggie-stir-fry,174,chopsticks,bowl,
Steak and Avocado Salad,https://tasty.co/recipe/steak-and-avocado-salad,177,fork,bowl,
One-Pot Shrimp And Spinach Fettuccine Alfredo Pasta,https://tasty.co/recipe/one-pot-shrimp-and-spinach-pasta,179,fork,bowl,
One-Pot Chicken And Mushroom Pasta,https://tasty.co/recipe/one-pot-chicken-and-mushroom-pasta,183,fork,bowl,
Meal-Prep Garlic Chicken And Veggie Pasta,https://tasty.co/recipe/meal-prep-garlic-chicken-and-veggie-pasta,184,fork,bowl,
Meal Prep Pesto Chicken Pasta,https://tasty.co/recipe/meal-prep-pesto-chicken-pasta,182,fork,bowl,
Weekday Meal-prep Pesto Chicken & Veggies,https://tasty.co/recipe/weekday-meal-prep-pesto-chicken-veggies,187,fork,plate,
"Cauliflower ""Potato Salad""",https://tasty.co/recipe/cauliflower-potato-salad,190,spoon ,bowl,
Cloud Bread,https://tasty.co/recipe/cloud-bread,191,person,plate,
Fried Chicken By Marcus Samuelsson,https://tasty.co/recipe/fried-chicken-by-marcus-samuelsson,207,person,plate,
Thai-Style Chicken And Prawn Fried Noodles (Pad Thai),https://tasty.co/recipe/thai-style-chicken-and-prawn-fried-noodles-pad-thai,205,fork,plate,
Easy One-Pan Pork Tenderloin Dinner With Apples And Onion,https://tasty.co/recipe/easy-one-pan-pork-tenderloin-dinner-with-apples-and-onion,214,"fork, knife",plate,
One-Pan Salmon And Veggies,https://tasty.co/recipe/one-pan-salmon-and-veggies,211,"fork, knife",plate,
"Cucumber, Tomato, And Avocado Salad",https://tasty.co/recipe/cucumber-tomato-and-avocado-salad,223,fork,bowl,
Egg White Breakfast Cups (Under 50 Calories),https://tasty.co/recipe/egg-white-breakfast-cups,215,person,plate,
Mozzarella-Stuffed Turkey Meatloaf,https://tasty.co/recipe/mozzarella-stuffed-turkey-meatloaf,225,fork,plate,
Spicy Southwestern-Style Turkey Burgers,https://tasty.co/recipe/spicy-southwestern-style-turkey-burgers,227,person,none,
Spaghetti Squash And Meatballs,https://tasty.co/recipe/spaghetti-squash-and-meatballs,226,fork,plate,
Turkey Taco Stuffed Bell Peppers,https://tasty.co/recipe/turkey-taco-stuffed-bell-peppers,224,"fork, knife",plate,
North African-style Poached Eggs In Tomato Sauce,https://tasty.co/recipe/north-african-style-poached-eggs-in-tomato-sauce,236,spoon,plate,
Popcorn Fried Chicken (Indian Style),https://tasty.co/recipe/popcorn-fried-chicken-indian-style,237,person,none,
One-Pan Spicy Prawns and Rice,https://tasty.co/recipe/one-pan-spicy-prawns-and-rice,238,fork,bowl,
Slow Cooker Chicken Tikka Masala,https://tasty.co/recipe/slow-cooker-chicken-tikka-masala,235,spoon,plate,
Beer-battered Onion Rings By Martha Stewart,https://tasty.co/recipe/beer-battered-onion-rings-by-martha-stewart,266,person,plate,
Cauliflower Shrimp Fried Rice,https://tasty.co/recipe/cauliflower-shrimp-fried-rice,271,fork,bowl,
Berry French Toast Cups,https://tasty.co/recipe/berry-french-toast-cups,286,person,plate,
Easy Foil-Pack Lemon And Rosemary Chicken Dinner,https://tasty.co/recipe/easy-foil-pack-lemon-and-rosemary-chicken-dinner,282,"fork, knife",plate,
Healthier Chicken Alfredo Pasta,https://tasty.co/recipe/healthier-chicken-alfredo-pasta,277,fork,bowl,
Zucchini Shrimp Scampi,https://tasty.co/recipe/zucchini-shrimp-scampi,276,fork,bowl,
Zucchini Tots,https://tasty.co/recipe/zucchini-tots,281,person,none,
Hidden Veggie Chicken & Rice,https://tasty.co/recipe/hidden-veggie-chicken-rice,289,"fork, knife",plate,
Malaysian-style Barbecue Pork Belly (Char Siu Pork),https://tasty.co/recipe/malaysian-style-barbecue-pork-belly-char-siu-pork,295,chopsticks,plate,
Chicken Tinga Tacos (Tinga De Pollo),https://tasty.co/recipe/chicken-tinga-tacos-tinga-de-pollo,305,person,plate,
Lemon Ricotta Pancakes,https://tasty.co/recipe/lemon-ricotta-pancakes,315,"fork, knife",plate,
Easy Sticky Chicken Drumsticks,https://tasty.co/recipe/easy-sticky-chicken-drumsticks,323,person,plate,
Popcorn Shrimp,https://tasty.co/recipe/popcorn-shrimp,337,person,bowl,
Baked Shrimp Scampi Linguine Pasta,https://tasty.co/recipe/baked-shrimp-scampi-linguine,336,fork,plate,
Under 300-Calorie Honey Lime Shrimp,https://tasty.co/recipe/under-300-calorie-honey-lime-shrimp,340,fork,plate,
Shrimp And Asparagus Stir Fry (Under 300 Calories),https://tasty.co/recipe/shrimp-and-asparagus-stir-fry,344,fork,bowl,
Honey Garlic Shrimp Stir-Fry,https://tasty.co/recipe/honey-garlic-shrimp-stir-fry,339,chopsticks,bowl,
Beef And Broccoli Stir-Fry,https://tasty.co/recipe/beef-and-broccoli-stir-fry,346,fork,bowl,
Steak Fajita Quesadillas,https://tasty.co/recipe/steak-fajita-quesadillas,351,person,none,dipped in sauce in bowl
Cheesy Potato Casserole,https://tasty.co/recipe/cheesy-potato-casserole,358,none,none,
Creamy Lemon Garlic Chicken,https://tasty.co/recipe/creamy-lemon-garlic-chicken,373,"fork, knife",plate,
Shrimp Spinach Bacon Alfredo,https://tasty.co/recipe/shrimp-bacon-spinach-alfredo,364,fork,plate,
One-Pot Chicken Spinach Bacon Alfredo,https://tasty.co/recipe/one-pot-chicken-spinach-bacon-alfredo,368,fork,bowl,
Berry Smoothie Bowl,https://tasty.co/recipe/berry-smoothie-bowl,377,spoon,bowl,
Fluffy Jiggly Japanese Cheesecake,https://tasty.co/recipe/fluffy-jiggly-japanese-cheesecake,382,spoon,plate,
"Ham, Cheese, And Spinach-stuffed Chicken",https://tasty.co/recipe/ham-cheese-and-spinach-stuffed-chicken,404,"fork, knife",plate,
Taco Pizza,https://tasty.co/recipe/taco-pizza,406,person,plate,
Southwest Chicken Alfredo Pasta Bake,https://tasty.co/recipe/southwest-chicken-pasta-bake,401,fork,none,
Honey Garlic Chicken Wings,https://tasty.co/recipe/honey-garlic-chicken-wings,402,person,plate,
Pumpkin Spice Donut Holes,https://tasty.co/recipe/pumpkin-spice-donut-holes,426,person,plate,
Double-Decker Steak Breakfast Tacos,https://tasty.co/recipe/double-decker-steak-breakfast-tacos,424,person,plate,
Quinoa Taco-Stuffed Peppers,https://tasty.co/recipe/quinoa-taco-stuffed-peppers,441,"fork, knife",plate,
Cranberry Cream Cheese Braid,https://tasty.co/recipe/cranberry-cream-cheese-braid,444,person,plate,
